,vec1,vec2,vec3,vec4,vec5,vec6,vec7,vec8,vec9,vec10,vec11,vec12,vec13,vec14,vec15,vec16,vec17,vec18,vec19,vec20,vec21,vec22,vec23,vec24,vec25,vec26,vec27,vec28,vec29,vec30,vec31,vec32,vec33,vec34,vec35,vec36,vec37,vec38,vec39,vec40,vec41,vec42,vec43,vec44,vec45,vec46,vec47,vec48,vec49,vec50,vec51,vec52,vec53,vec54,vec55,vec56,vec57,vec58,vec59,vec60,vec61,vec62,vec63,vec64,vec65,vec66,vec67,vec68,vec69,vec70,vec71,vec72,vec73,vec74,vec75,vec76,vec77,vec78,vec79,vec80,vec81,vec82,vec83,vec84,vec85,vec86,vec87,vec88,vec89,vec90,vec91,vec92,vec93,vec94,vec95,vec96,vec97,vec98,vec99,vec100,vec101,vec102,vec103,vec104,vec105,vec106,vec107,vec108,vec109,vec110,vec111,vec112,vec113,vec114,vec115,vec116,vec117,vec118,vec119,vec120,vec121,vec122,vec123,vec124,vec125,vec126,vec127,vec128
1_org_0,402.2424621582031,123.69732666015625,152.8378448486328,36.37860870361328,174.22059631347656,177.0615692138672,232.21189880371094,49.4846305847168,136.21261596679688,93.83877563476562,136.62171936035156,201.98016357421875,242.9832000732422,257.6614685058594,133.41119384765625,335.29754638671875,57.123680114746094,22.983936309814453,78.64292907714844,52.54780197143555,537.9526977539062,60.257083892822266,191.43800354003906,117.7411117553711,380.86578369140625,113.49645233154297,56.16584777832031,86.18115234375,360.0584716796875,79.88198852539062,756.7982177734375,50.28009796142578,148.828125,1094.490478515625,59.22529602050781,59.77903366088867,122.27467346191406,364.5722961425781,233.3376922607422,56.377281188964844,363.1519470214844,188.4490966796875,23.4887752532959,198.4567108154297,39.94351577758789,248.31947326660156,51.429771423339844,101.89209747314453,361.8906555175781,201.6051483154297,206.96417236328125,87.79051971435547,204.6834716796875,31.4346923828125,52.333709716796875,76.0402603149414,45.39964294433594,218.52427673339844,159.04376220703125,38.41704559326172,262.1820068359375,122.6182632446289,118.74114227294922,76.11585235595703,42.758541107177734,5.426117420196533,144.17530822753906,75.55241394042969,16.03084373474121,74.26947021484375,89.5528335571289,27.937448501586914,48.26915740966797,188.71368408203125,33.28427505493164,35.782371520996094,424.92034912109375,137.95997619628906,274.76287841796875,74.79273223876953,47.61539840698242,163.4227752685547,244.92527770996094,66.33940887451172,438.5493469238281,85.29888916015625,287.0157470703125,69.19810485839844,53.92453384399414,126.72320556640625,54.87395477294922,71.38052368164062,209.9622802734375,40.05133819580078,33.10409927368164,61.21601867675781,44.851314544677734,473.21142578125,184.6514892578125,29.488161087036133,1364.3475341796875,166.73513793945312,281.9129943847656,38.792755126953125,276.0381164550781,92.16390991210938,26.4899845123291,150.4525146484375,302.19879150390625,50.220672607421875,300.4802551269531,161.3979949951172,128.18162536621094,155.8798828125,75.74150085449219,166.42218017578125,93.89157104492188,44.617801666259766,97.87275695800781,12.231844902038574,181.86492919921875,34.810306549072266,60.92516326904297,236.73907470703125,174.6621856689453,152.872314453125,156.64381408691406,165.8739471435547
1_org_1,439.435791015625,137.6104736328125,143.0484161376953,38.58405303955078,179.11419677734375,164.74964904785156,226.47024536132812,74.60868835449219,163.36328125,121.27398681640625,155.79083251953125,180.9852294921875,225.25741577148438,258.619140625,138.7931365966797,279.839111328125,75.73480224609375,30.740982055664062,109.82421875,68.54730224609375,555.2487182617188,81.40470886230469,221.16261291503906,146.66873168945312,322.19384765625,144.0876922607422,78.8591079711914,131.3821563720703,316.2350158691406,89.5943374633789,613.88232421875,67.45130920410156,144.82449340820312,801.4960327148438,81.34046936035156,62.8646354675293,128.35643005371094,325.3022155761719,265.63189697265625,71.9527359008789,372.2799377441406,194.24620056152344,30.00398063659668,240.44845581054688,57.5867805480957,310.766845703125,71.20768737792969,87.58391571044922,378.1033630371094,160.76979064941406,197.21920776367188,116.6493148803711,230.1923370361328,47.64972686767578,69.47122955322266,90.87171173095703,57.26906204223633,238.69134521484375,161.74441528320312,58.894981384277344,227.85011291503906,142.53533935546875,97.37113189697266,91.3302001953125,52.04079818725586,5.346775054931641,177.1208953857422,97.85699462890625,26.24460220336914,82.03602600097656,109.55117797851562,33.37689971923828,65.4567642211914,207.0498504638672,48.3159065246582,40.90558624267578,377.3302001953125,157.32505798339844,320.4427490234375,75.4217300415039,74.25008392333984,173.59681701660156,252.6719512939453,90.44483184814453,454.158935546875,90.62808990478516,308.11273193359375,92.06703186035156,72.77439880371094,159.0542449951172,48.214256286621094,85.2695083618164,194.67617797851562,59.42688751220703,28.8037109375,67.49742126464844,61.48760223388672,529.9229125976562,197.04946899414062,41.52382278442383,1202.9842529296875,143.36505126953125,325.8861389160156,53.526695251464844,272.61932373046875,113.91118621826172,33.23638916015625,178.12265014648438,272.1349792480469,63.2541618347168,233.9898223876953,196.4730682373047,128.40663146972656,141.51895141601562,95.7842025756836,216.2940673828125,120.27494049072266,51.44877624511719,87.26288604736328,26.20040512084961,172.386962890625,46.09385299682617,87.54830169677734,207.89096069335938,218.46945190429688,224.49542236328125,147.2323760986328,217.6337127685547
1_org_2,452.3223571777344,186.22215270996094,156.9066619873047,34.41935348510742,187.98190307617188,207.67526245117188,227.16510009765625,68.64494323730469,154.11843872070312,120.4443588256836,170.78456115722656,169.9332275390625,255.36029052734375,263.53326416015625,150.07432556152344,276.8731994628906,80.86820220947266,44.06837463378906,106.099609375,76.62210845947266,581.2197265625,83.02375030517578,238.36329650878906,169.47251892089844,359.27276611328125,141.28192138671875,79.20130920410156,167.78822326660156,370.265625,55.465476989746094,627.1793823242188,58.94404602050781,109.99703979492188,887.85986328125,90.17073822021484,58.821693420410156,114.35775756835938,345.8785400390625,259.6563415527344,92.66735076904297,396.4992370605469,205.1513214111328,34.765254974365234,285.7413635253906,57.6832160949707,337.9381103515625,56.58448791503906,76.16889190673828,385.6560974121094,173.28341674804688,191.51834106445312,129.26687622070312,229.518310546875,45.08901596069336,74.09808349609375,91.01874542236328,55.84981918334961,267.7805480957031,151.7230682373047,71.8082275390625,292.5828552246094,135.47315979003906,112.12649536132812,97.58183288574219,50.1530876159668,3.192415237426758,184.4713592529297,97.1226806640625,34.61272430419922,106.61155700683594,104.44429779052734,33.62615966796875,50.225830078125,264.9440612792969,57.77981948852539,44.42444610595703,346.95379638671875,160.77891540527344,354.1619873046875,76.24250793457031,89.68378448486328,199.7718048095703,278.1153869628906,97.62061309814453,436.39959716796875,90.01445770263672,398.3114318847656,90.97965240478516,80.08233642578125,148.90985107421875,47.76178741455078,108.55438995361328,244.75372314453125,60.907325744628906,18.994775772094727,96.7182388305664,68.80001831054688,623.3023071289062,206.24160766601562,40.61602783203125,1327.952880859375,160.10665893554688,322.3226623535156,51.001869201660156,262.7445983886719,122.7587661743164,35.58393478393555,205.73593139648438,316.0195007324219,79.5915756225586,247.97572326660156,181.0330810546875,139.1154327392578,157.59207153320312,111.07847595214844,218.61312866210938,96.55462646484375,38.518123626708984,66.18375396728516,38.714820861816406,173.91358947753906,53.50284957885742,93.41851043701172,198.44351196289062,254.16482543945312,278.96484375,132.2913055419922,180.9989013671875
1_org_3,462.8943176269531,217.0508575439453,153.7661895751953,34.077510833740234,223.7069549560547,205.2333221435547,230.14015197753906,70.25959777832031,160.57859802246094,114.2170639038086,161.4407501220703,187.9416046142578,260.71514892578125,288.2256164550781,147.9576873779297,276.4622497558594,80.29105377197266,41.765663146972656,103.01715850830078,73.93012237548828,565.7008666992188,85.59390258789062,245.545654296875,165.23263549804688,354.6383056640625,136.21571350097656,77.65762329101562,158.42254638671875,353.0898132324219,65.0388412475586,629.0791625976562,59.07185745239258,116.53431701660156,847.9384765625,84.1018295288086,54.49490737915039,138.95750427246094,335.2270812988281,274.1514587402344,115.4270248413086,426.7926940917969,205.1860809326172,36.214847564697266,268.6570739746094,58.39964294433594,327.943115234375,55.80515670776367,65.15655517578125,372.6923522949219,162.2777862548828,176.19581604003906,129.76864624023438,243.1388702392578,44.701011657714844,76.12588500976562,93.0892562866211,64.11029815673828,271.1297912597656,155.73731994628906,69.59994506835938,294.422607421875,138.76856994628906,103.5450210571289,97.43153381347656,47.061912536621094,6.345378875732422,186.57879638671875,102.86100769042969,33.96815490722656,101.84574127197266,103.66893768310547,31.17713737487793,60.03559112548828,253.0910186767578,55.1719856262207,42.6581916809082,368.35009765625,163.14662170410156,345.59136962890625,64.52879333496094,81.22029113769531,190.10137939453125,302.4526062011719,90.71900177001953,448.6881408691406,99.80301666259766,385.24249267578125,88.9726791381836,77.73716735839844,148.68411254882812,51.62446212768555,111.23014068603516,232.1680145263672,58.125885009765625,28.783626556396484,92.74139404296875,71.10150146484375,605.57373046875,195.17111206054688,42.840885162353516,1254.8671875,155.35031127929688,310.98858642578125,50.733482360839844,260.5136413574219,127.32816314697266,34.579872131347656,215.20005798339844,305.05230712890625,75.42731475830078,248.43484497070312,192.2566375732422,131.6181640625,158.4782257080078,104.0491943359375,206.28973388671875,133.78302001953125,35.29148864746094,64.01734161376953,40.26736831665039,177.53428649902344,58.391014099121094,87.15156555175781,203.83164978027344,253.42100524902344,266.1343994140625,128.0106658935547,161.411376953125
1_org_4,447.1837158203125,174.66197204589844,143.38104248046875,35.81684112548828,188.54188537597656,183.50440979003906,225.83599853515625,69.5558853149414,151.27474975585938,119.09649658203125,159.8194580078125,173.74049377441406,233.7533416748047,272.6885681152344,138.50558471679688,273.1678466796875,78.25466918945312,36.962093353271484,105.3506088256836,73.42935180664062,557.7796630859375,80.95820617675781,225.09169006347656,157.99041748046875,332.6771545410156,140.38912963867188,77.03736114501953,149.57843017578125,340.6019592285156,66.27851104736328,602.6893920898438,61.44499206542969,127.81082916259766,850.387451171875,86.52542114257812,58.74007034301758,117.5614242553711,330.3945007324219,253.6909942626953,77.81233978271484,377.35638427734375,197.728515625,34.07209014892578,261.1231994628906,51.51287078857422,316.9148254394531,59.8997917175293,81.14151763916016,371.7637939453125,168.12884521484375,184.0291748046875,119.03155517578125,231.75314331054688,44.250328063964844,72.5057373046875,90.05021667480469,57.93476486206055,247.44546508789062,160.3269805908203,66.4968032836914,255.82127380371094,128.4617156982422,107.67427825927734,97.35115051269531,47.30343246459961,4.188446044921875,173.9296112060547,96.05370330810547,31.142723083496094,93.24916076660156,102.63719940185547,34.19199752807617,58.21504211425781,236.22833251953125,52.49005126953125,42.28312301635742,366.39984130859375,161.2495574951172,343.0025939941406,75.04655456542969,82.68836975097656,189.23294067382812,267.79327392578125,94.18131256103516,445.0756530761719,88.11774444580078,362.07958984375,86.65312957763672,76.89232635498047,152.75180053710938,49.796138763427734,98.6012954711914,210.68722534179688,57.13362121582031,22.61418342590332,82.99756622314453,64.02752685546875,572.5863647460938,206.32005310058594,37.551021575927734,1307.46337890625,156.28614807128906,325.396728515625,53.44357681274414,260.69622802734375,119.3257827758789,30.280357360839844,194.67982482910156,286.96881103515625,70.92200469970703,229.451416015625,185.5790252685547,132.49868774414062,146.41629028320312,105.05119323730469,218.40347290039062,104.89176177978516,42.95618438720703,72.23290252685547,30.160263061523438,175.19618225097656,48.25331497192383,89.1775131225586,211.62551879882812,231.6527862548828,255.4388885498047,140.04498291015625,181.25965881347656
1_org_5,470.539794921875,248.34584045410156,169.42318725585938,35.135746002197266,218.2397918701172,255.81105041503906,228.53250122070312,70.08597564697266,178.6319580078125,117.48764038085938,173.99200439453125,199.78887939453125,302.5170593261719,305.0421447753906,153.87124633789062,294.3055419921875,83.05632019042969,52.348175048828125,108.08184814453125,77.59545135498047,602.39453125,88.59622955322266,240.5725860595703,176.38221740722656,424.35308837890625,141.44705200195312,74.4802017211914,164.37557983398438,400.30419921875,62.52736282348633,688.9735107421875,55.172752380371094,92.76382446289062,1007.694580078125,88.3994369506836,57.23702621459961,127.1563720703125,364.5861511230469,260.4264221191406,120.60157012939453,434.9687805175781,215.4196014404297,38.31161880493164,281.7183532714844,57.79759216308594,348.6289367675781,57.124755859375,71.6090087890625,404.7818908691406,189.0318603515625,195.5409393310547,139.65414428710938,254.24346923828125,44.7389030456543,78.04934692382812,102.7021255493164,51.61045455932617,298.9864196777344,148.5736846923828,75.61722564697266,349.1992492675781,150.41622924804688,125.58008575439453,102.13815307617188,48.87566375732422,9.681246757507324,189.74891662597656,96.90550994873047,33.92034149169922,112.71625518798828,96.84037017822266,33.799530029296875,47.485755920410156,298.94024658203125,57.01792526245117,43.79558563232422,359.8781433105469,163.0854949951172,377.02239990234375,72.70205688476562,87.5712890625,208.08119201660156,299.25640869140625,94.4332275390625,424.9042663574219,100.53189849853516,464.2645568847656,93.67730712890625,80.20467376708984,139.46212768554688,69.3718032836914,122.8866958618164,285.00250244140625,59.574947357177734,37.40409851074219,104.7275161743164,75.20865631103516,631.6154174804688,205.7640380859375,46.44512176513672,1413.1060791015625,173.2079315185547,315.31243896484375,53.13005828857422,257.3888244628906,139.35011291503906,42.4933967590332,223.68441772460938,339.2418212890625,81.63787078857422,284.5450439453125,172.5792999267578,149.77125549316406,182.06529235839844,113.1352310180664,215.4830322265625,110.88147735595703,45.039024353027344,64.56905364990234,46.91349411010742,162.3914031982422,61.44472122192383,87.80918884277344,225.4748077392578,269.209228515625,280.0886535644531,128.777099609375,168.50254821777344
1_org_6,463.3926696777344,196.5997314453125,157.70008850097656,33.52983856201172,208.0737762451172,219.52658081054688,225.67306518554688,68.44365692138672,189.597900390625,119.4531021118164,165.2006072998047,191.06541442871094,258.04364013671875,282.8025817871094,153.4820098876953,285.2593994140625,81.09339904785156,46.281002044677734,107.3573989868164,74.80462646484375,581.3984985351562,86.53605651855469,218.49282836914062,169.81935119628906,356.7970886230469,135.514404296875,76.09684753417969,180.21690368652344,359.4732971191406,67.03706359863281,645.3994750976562,61.5411262512207,103.29033660888672,878.4036865234375,88.26679992675781,53.247802734375,120.17349243164062,373.24493408203125,253.6686248779297,103.33714294433594,429.0971374511719,213.30117797851562,34.362674713134766,282.74444580078125,64.59117889404297,326.0793151855469,56.223045349121094,59.35331726074219,397.0638427734375,160.8851776123047,191.20359802246094,131.1185760498047,232.03993225097656,47.08428955078125,71.58863067626953,101.51461791992188,71.05035400390625,293.05389404296875,139.04061889648438,72.9662094116211,283.315185546875,155.4624786376953,108.89372253417969,102.93714904785156,54.877838134765625,9.055368423461914,190.4161376953125,102.35090637207031,38.3947639465332,106.27992248535156,102.5104751586914,30.505699157714844,47.47575378417969,272.69775390625,62.584468841552734,41.22021484375,354.484130859375,159.97329711914062,350.92889404296875,60.98116683959961,90.96598815917969,192.05441284179688,288.4111633300781,96.60664367675781,417.79193115234375,96.27422332763672,419.7890625,94.3753890991211,82.49225616455078,147.4419403076172,60.565792083740234,111.34942626953125,263.1277770996094,64.05391693115234,32.95669937133789,98.86209869384766,80.53247833251953,623.7671508789062,184.7330322265625,45.46775817871094,1273.5421142578125,144.78622436523438,296.0361022949219,48.0350456237793,236.9492645263672,129.4601287841797,38.756988525390625,204.26771545410156,336.13812255859375,75.2719497680664,270.4435119628906,168.4204559326172,144.25502014160156,150.04298400878906,114.12434387207031,189.73007202148438,102.81920623779297,44.423423767089844,63.43288803100586,45.52363586425781,160.59365844726562,61.236000061035156,91.98851776123047,194.76856994628906,258.3343505859375,291.2828674316406,129.24159240722656,154.617431640625
1_org_7,412.7409973144531,167.0356903076172,124.82125091552734,64.36168670654297,221.88328552246094,177.6953125,220.86724853515625,79.27398681640625,135.37408447265625,147.97463989257812,155.81846618652344,219.50880432128906,232.0800018310547,284.071533203125,130.71697998046875,223.54942321777344,81.61195373535156,58.172603607177734,103.9113998413086,81.73336029052734,525.4590454101562,94.93150329589844,198.71939086914062,181.18234252929688,309.3860778808594,123.27289581298828,96.25518035888672,226.3676300048828,296.989501953125,85.93692016601562,549.8017578125,97.82827758789062,183.24478149414062,675.9456176757812,107.6047134399414,78.81455993652344,153.07020568847656,269.4776306152344,231.20396423339844,95.98999786376953,403.517333984375,180.943115234375,47.20419692993164,216.92520141601562,66.32865905761719,303.8492126464844,74.52896118164062,71.5205078125,378.6961975097656,146.90663146972656,183.03176879882812,128.66336059570312,238.38641357421875,70.61662292480469,79.4684066772461,125.46727752685547,164.77056884765625,272.5263366699219,180.77174377441406,97.51937866210938,247.93223571777344,127.0674057006836,107.02721405029297,124.72378540039062,46.66751480102539,12.832365989685059,176.1099395751953,98.21421813964844,56.17427062988281,91.87503814697266,82.76069641113281,39.40016174316406,99.39930725097656,221.00181579589844,86.31692504882812,45.27134323120117,423.827392578125,164.8531494140625,350.8455810546875,75.7515869140625,113.24710083007812,183.58804321289062,267.5049133300781,114.25154113769531,408.3481750488281,107.15861511230469,330.78265380859375,89.14433288574219,93.16028594970703,148.4306182861328,61.357826232910156,105.07035064697266,190.36766052246094,86.66519165039062,44.83885192871094,82.81718444824219,74.1556396484375,469.2832336425781,197.24331665039062,53.840213775634766,1126.5074462890625,136.8553924560547,267.84820556640625,61.31479263305664,266.95611572265625,126.8572006225586,34.93944549560547,214.73712158203125,236.09640502929688,75.7355728149414,196.04173278808594,206.74264526367188,117.4560546875,139.79412841796875,122.36959838867188,199.0751190185547,91.51737976074219,80.47958374023438,84.96784210205078,61.039024353027344,157.00694274902344,54.650634765625,109.32858276367188,235.59393310546875,209.4413604736328,348.6713562011719,153.94224548339844,173.86441040039062
1_org_8,467.8515930175781,210.36407470703125,161.59071350097656,45.07284927368164,231.103759765625,215.68470764160156,231.5428466796875,81.7100830078125,164.148193359375,142.0310821533203,175.8223114013672,206.56361389160156,279.6490478515625,310.6467590332031,158.30502319335938,267.2174987792969,91.72102355957031,57.7089729309082,114.86431884765625,82.53596496582031,608.1218872070312,94.7086181640625,235.619384765625,186.76126098632812,377.46441650390625,145.6041259765625,92.44316864013672,203.2278594970703,375.3124694824219,78.5992431640625,616.3982543945312,77.18726348876953,109.73236083984375,859.7833251953125,107.59732818603516,64.32987213134766,128.4854736328125,337.37335205078125,284.20428466796875,116.3645248413086,448.89208984375,211.37245178222656,42.699554443359375,275.5435485839844,73.16738891601562,364.6134033203125,69.2546157836914,75.96887969970703,414.5932312011719,173.1039276123047,208.173095703125,144.24851989746094,248.03314208984375,61.410762786865234,81.4983901977539,115.78857421875,85.24101257324219,301.8852844238281,162.18983459472656,88.9341812133789,304.57354736328125,145.63768005371094,117.67613983154297,109.75942993164062,52.49635696411133,10.896870613098145,189.33705139160156,106.60630798339844,45.54274368286133,112.86042785644531,99.48175048828125,41.11140441894531,64.62357330322266,285.4579162597656,76.97197723388672,45.55816650390625,363.4275817871094,168.2322998046875,390.5794372558594,80.43495178222656,110.7850341796875,199.5448455810547,309.9027404785156,104.8010482788086,427.752197265625,100.48674011230469,440.41558837890625,97.20570373535156,90.57186889648438,159.4518280029297,61.460693359375,126.54183197021484,242.38528442382812,80.30857849121094,41.7831916809082,105.5276107788086,84.14453887939453,606.9562377929688,211.1800537109375,55.49175262451172,1305.4874267578125,157.35455322265625,331.2602844238281,59.65473556518555,263.2275085449219,143.49952697753906,40.02107620239258,223.25418090820312,308.73260498046875,85.3255844116211,247.60462951660156,190.3546142578125,146.15740966796875,168.0238800048828,127.22135162353516,235.64756774902344,109.65479278564453,57.878902435302734,72.72026824951172,60.87030792236328,171.52186584472656,64.01634979248047,100.65771484375,214.9156494140625,264.7398681640625,319.588623046875,154.80677795410156,176.81922912597656
1_org_9,477.31512451171875,199.8461456298828,158.89093017578125,36.67133712768555,212.79031372070312,224.8697509765625,231.00833129882812,71.89656066894531,165.6959686279297,124.40243530273438,177.94154357910156,166.757080078125,269.53759765625,280.2093811035156,157.63487243652344,286.0986022949219,84.5708236694336,45.934715270996094,115.32083129882812,78.47649383544922,592.6604614257812,88.5524673461914,231.1995391845703,181.0996551513672,378.4049377441406,153.33248901367188,85.2013931274414,185.67393493652344,388.25103759765625,52.28116989135742,644.9949951171875,61.42534255981445,88.2715072631836,960.2351684570312,99.33892059326172,55.38554382324219,109.16790771484375,375.984130859375,282.46466064453125,101.50537872314453,434.1549072265625,220.24314880371094,36.56406784057617,305.83721923828125,64.63362121582031,361.0664367675781,51.133872985839844,75.3892593383789,405.2847595214844,186.2262420654297,197.3245391845703,136.6719512939453,226.9869842529297,48.96549606323242,74.41618347167969,100.48409271240234,61.88081359863281,301.24658203125,147.44949340820312,79.48545837402344,315.3251647949219,144.1668701171875,127.92411041259766,98.20736694335938,55.54020690917969,3.5283327102661133,190.37876892089844,102.63642883300781,41.911041259765625,124.31829833984375,103.13330841064453,36.214691162109375,43.96504211425781,311.9971008300781,67.1662826538086,42.90544128417969,335.1043395996094,161.13275146484375,376.98602294921875,76.80142211914062,105.90071868896484,211.2508544921875,322.91314697265625,103.57363891601562,417.92303466796875,97.88665771484375,480.98785400390625,88.86429595947266,82.69364166259766,151.07302856445312,51.95762252807617,127.23063659667969,267.046142578125,64.21005249023438,20.783649444580078,111.48587036132812,78.09292602539062,661.9141235351562,206.05162048339844,43.07265090942383,1415.8486328125,165.8829345703125,326.0615539550781,53.672576904296875,242.4490203857422,137.49569702148438,45.163333892822266,210.49603271484375,359.18780517578125,81.70936584472656,267.465087890625,167.7177734375,150.86166381835938,164.632568359375,124.78258514404297,228.6395263671875,102.94281768798828,39.692054748535156,61.106571197509766,50.38307571411133,173.68417358398438,55.954959869384766,101.828125,191.76544189453125,279.2480773925781,303.73944091796875,132.1532745361328,151.5073699951172
