,1_org_0,1_org_1,1_org_2,1_org_3,1_org_4,1_org_5,1_org_6,1_org_7,1_org_8,1_org_9,1_org_10,1_sim_0,1_sim_1,1_sim_2,1_sim_3,1_sim_4,1_sim_5,1_sim_6,1_sim_7,1_sim_8,1_sim_9,2_org_0,2_org_1,2_org_2,2_org_3,2_org_4,2_org_5,2_org_6,2_org_7,2_org_8,2_org_9,2_sim_0,2_sim_1,2_sim_2,2_sim_3,2_sim_4,2_sim_5,2_sim_6,2_sim_7,2_sim_8,2_sim_9,2_sim_10,3_org_0,3_org_1,3_org_2,3_org_3,3_org_4,3_org_5,3_sim_0,3_sim_1,3_sim_2,3_sim_3,3_sim_4,3_sim_5,3_sim_6,3_sim_7,3_sim_8,3_sim_9,3_sim_10,3_sim_11,4_org_0,4_org_1,4_org_2,4_org_3,4_org_4,4_org_5,4_org_6,4_org_7,4_org_8,4_org_9,4_org_10,4_sim_0,4_sim_1,4_sim_2,4_sim_3,4_sim_4,4_sim_5,4_sim_6,4_sim_7,4_sim_8,4_sim_9,4_sim_10,4_sim_11,5_org_0,5_org_1,5_org_2,5_org_3,5_org_4,5_org_5,5_org_6,5_org_7,5_org_8,5_sim_0,5_sim_1,5_sim_2,5_sim_3,5_sim_4,5_sim_5,5_sim_6,5_sim_7,5_sim_8,6_org_0,6_org_1,6_org_2,6_org_3,6_org_4,6_org_5,6_org_6,6_sim_0,6_sim_1,6_sim_2,6_sim_3,6_sim_4,6_sim_5,6_sim_6,6_sim_7,6_sim_8,6_sim_9,6_sim_10,7_org_0,7_org_1,7_org_2,7_org_3,7_org_4,7_org_5,7_org_6,7_org_7,7_org_8,7_org_9,7_org_10,7_org_11,7_sim_0,7_sim_1,7_sim_2,7_sim_3,7_sim_4,7_sim_5,7_sim_6,7_sim_7,7_sim_8,7_sim_9
1_org_0,0.99999994,0.9639164,0.9700945,0.9767966,0.9730488,0.9676278,0.97076744,0.93345207,0.9578953,0.9622278,0.95573044,0.9272814,0.95531034,0.9640248,0.96928376,0.95015424,0.9577498,0.96572477,0.96682394,0.96571875,0.9164305,0.96420044,0.97248185,0.9457505,0.956499,0.961166,0.97189903,0.9761499,0.97797483,0.96263397,0.9482231,0.9702039,0.95626515,0.9615672,0.96694994,0.9682402,0.96174574,0.96961355,0.98169255,0.9705106,0.973804,0.9605603,0.936885,0.9316262,0.93153256,0.94059914,0.9222023,0.8995346,0.7459855,0.8407469,0.9438432,0.9300097,0.8954388,0.94828784,0.95780873,0.93007755,0.9403751,0.9446746,0.9486345,0.9332906,0.9448688,0.97064805,0.9755362,0.9736961,0.9799048,0.96586514,0.9712106,0.97658443,0.9766501,0.9749185,0.9734899,0.9581656,0.95334876,0.9608438,0.96730655,0.97092867,0.9673598,0.9646469,0.967451,0.97358274,0.97427833,0.96557057,0.9550377,0.88799345,0.94810665,0.95749617,0.9492949,0.95314026,0.95830065,0.9614008,0.95055234,0.9456402,0.98043466,0.9710212,0.9757037,0.97780323,0.9749478,0.9766121,0.9802432,0.97404724,0.97615635,0.96273726,0.97322863,0.96231973,0.96254206,0.970163,0.97717243,0.9474124,0.96354866,0.97106516,0.9666877,0.96066445,0.959629,0.9720391,0.95775384,0.97522974,0.9729398,0.94644916,0.9515839,0.96317077,0.978145,0.97996473,0.9706243,0.9765561,0.98381877,0.9776683,0.97870195,0.9775009,0.9775586,0.9675816,0.9640504,0.9772357,0.98112625,0.97590214,0.96631724,0.9752633,0.979425,0.97396,0.9740242,0.97756207,0.9558584
1_org_1,0.9639164,0.9999999,0.9748708,0.971984,0.9904225,0.95145696,0.9578481,0.9546294,0.97034186,0.95351624,0.934992,0.92423284,0.93579555,0.95316076,0.9431707,0.92588174,0.95643026,0.9606286,0.9599645,0.9704559,0.9252199,0.8918601,0.925332,0.95580953,0.90162647,0.88999486,0.9149512,0.95036626,0.96487844,0.90507156,0.8832189,0.92801213,0.88556135,0.90978974,0.9210551,0.91611207,0.9033985,0.9182499,0.95100117,0.96570456,0.93867666,0.92067134,0.95961535,0.96345794,0.9648002,0.9676614,0.9680362,0.94613016,0.82092154,0.896837,0.9715786,0.9559629,0.9293822,0.9766202,0.963799,0.9537703,0.976084,0.97960037,0.9593945,0.94899,0.919452,0.9229584,0.9362031,0.9298363,0.9547954,0.93967426,0.9222775,0.94158626,0.92141074,0.91436803,0.91533434,0.94037753,0.9440356,0.93533766,0.936618,0.9517197,0.9369845,0.9368069,0.94229734,0.954314,0.95188457,0.94023466,0.9325144,0.8397399,0.86218953,0.87952316,0.86431843,0.8728956,0.9065158,0.8969615,0.8662406,0.8641507,0.94449276,0.9348756,0.94749916,0.941716,0.9364122,0.9384388,0.92563206,0.9419018,0.9360211,0.9689424,0.94920564,0.9397621,0.94586015,0.9515698,0.95336825,0.9193508,0.9543236,0.94518614,0.9319022,0.94260865,0.94110286,0.9296428,0.94706243,0.9576925,0.94227695,0.93070626,0.9363669,0.9191853,0.91859967,0.94102156,0.9372631,0.92616034,0.93522227,0.94686675,0.9456508,0.9315931,0.93184566,0.9402126,0.915537,0.9593221,0.96438134,0.94198936,0.9764604,0.9661402,0.9495588,0.9755542,0.9668889,0.9538549,0.9227532
1_org_2,0.9700945,0.9748708,0.99999994,0.9902309,0.9898204,0.9899617,0.99007046,0.94981503,0.9901109,0.99178505,0.97307813,0.92665696,0.9616723,0.9716468,0.9631296,0.9597988,0.9742759,0.9660449,0.9647701,0.9807198,0.9262241,0.9366559,0.94077206,0.947827,0.9488734,0.9346689,0.93834674,0.97022843,0.967446,0.9470984,0.93171215,0.95686823,0.93919134,0.9589105,0.96266305,0.95883805,0.9516933,0.9560571,0.97074986,0.9766854,0.971987,0.9513989,0.96974,0.9774057,0.96702206,0.9710208,0.96240807,0.92792046,0.7663431,0.8545146,0.9645302,0.95449555,0.89699113,0.97060364,0.98092526,0.9367347,0.97580564,0.97841287,0.9830791,0.9475332,0.9231509,0.9546502,0.96317446,0.95871127,0.9682425,0.94140816,0.9462248,0.9650645,0.9550779,0.9436939,0.94176304,0.9576917,0.9634149,0.9638775,0.96928537,0.97005934,0.9656293,0.9675009,0.97270167,0.9667828,0.97591484,0.9717189,0.96058506,0.8551909,0.90413994,0.916928,0.9018369,0.91432536,0.9393075,0.93251127,0.906818,0.90228546,0.955256,0.96498173,0.9690432,0.966282,0.96501285,0.9635271,0.95845574,0.9678476,0.95725775,0.9739343,0.95476544,0.9464118,0.9537542,0.95373505,0.9616548,0.9338263,0.9648569,0.95449775,0.95107925,0.9574792,0.96233195,0.95691705,0.94462097,0.9655101,0.957507,0.9595523,0.960773,0.93539846,0.94796956,0.96870863,0.97352195,0.9600849,0.9575888,0.9744252,0.97536016,0.9646474,0.9658544,0.9762015,0.9499038,0.9602447,0.9761665,0.97012526,0.97674036,0.9791156,0.9753324,0.9845687,0.97361517,0.97674394,0.9473655
1_org_3,0.9767966,0.971984,0.9902309,1.0000001,0.98669684,0.9899864,0.9891518,0.95029086,0.9823334,0.98421156,0.96674854,0.9259225,0.9590615,0.9718017,0.9684946,0.9585683,0.9730471,0.9709227,0.97229296,0.9805518,0.92670864,0.945436,0.9551819,0.96035993,0.95324445,0.9433112,0.9495425,0.9749156,0.9722917,0.9537623,0.93878055,0.96131474,0.9470202,0.9608115,0.965163,0.9630991,0.9571352,0.9603596,0.9736259,0.9739344,0.9743428,0.9545998,0.95974874,0.96468496,0.9569701,0.96193635,0.9548104,0.9234594,0.7633935,0.86064184,0.9673914,0.94957966,0.9069444,0.97222865,0.97851634,0.9453938,0.9700564,0.9720123,0.976388,0.94957846,0.9335713,0.9627017,0.97077733,0.9679774,0.9771783,0.9551545,0.95773953,0.9724771,0.9641782,0.9555858,0.95299315,0.9462131,0.9499318,0.95590067,0.9634352,0.96295714,0.96122503,0.96100056,0.9659356,0.9665644,0.9742097,0.9666021,0.95487237,0.86215425,0.91705966,0.9276444,0.91653967,0.92278695,0.93237245,0.9314245,0.9169028,0.9125168,0.9586837,0.95897317,0.96529984,0.9625196,0.9609345,0.95964724,0.9618491,0.9624486,0.958619,0.97065794,0.96215546,0.9552251,0.95985454,0.9612813,0.9696864,0.94022983,0.9722494,0.9664235,0.9636894,0.96366525,0.96879303,0.969136,0.9534981,0.97607476,0.97074074,0.9638338,0.96300435,0.9445908,0.9598266,0.97680575,0.97423553,0.96775925,0.9677216,0.9769701,0.97649074,0.9689777,0.9711659,0.97683346,0.95541805,0.97021544,0.9800292,0.9723873,0.97164065,0.98156965,0.9778975,0.9823519,0.9807099,0.98151326,0.9533422
1_org_4,0.9730488,0.9904225,0.9898204,0.98669684,1.0000001,0.97463346,0.97831905,0.96106994,0.98508394,0.97725284,0.96019405,0.92927516,0.95285356,0.97028494,0.96012414,0.94532764,0.96999866,0.97116184,0.97092366,0.9815903,0.9332351,0.9222481,0.9410591,0.9617883,0.9320244,0.9188255,0.934981,0.9683835,0.97351193,0.931749,0.9141883,0.9503245,0.9169116,0.93862396,0.9488884,0.9433199,0.93299437,0.9456084,0.96766996,0.9765129,0.96253145,0.94649434,0.969404,0.97498107,0.9716664,0.974277,0.9721937,0.94707966,0.79946506,0.88682497,0.9759419,0.9614477,0.9233949,0.98200095,0.98008513,0.9549923,0.9806363,0.9845775,0.9765893,0.95807934,0.9288411,0.942936,0.953478,0.948895,0.96696496,0.94932574,0.9420155,0.95786124,0.9433539,0.9341421,0.93412006,0.95318615,0.9561143,0.951296,0.95493245,0.96493405,0.9551211,0.954545,0.9603213,0.9641882,0.9661975,0.9591625,0.9501113,0.8551761,0.88916475,0.9044218,0.8893285,0.90008926,0.9285166,0.9211952,0.8933791,0.8901359,0.9570231,0.95192575,0.96260464,0.95820403,0.95332885,0.95486873,0.9463522,0.95850396,0.9532136,0.9731076,0.9592378,0.9525151,0.95732254,0.9603682,0.96587336,0.9348063,0.96523434,0.9589585,0.95044374,0.95700765,0.9600874,0.9538582,0.95689857,0.9707552,0.9585463,0.95010847,0.95348394,0.9355291,0.94044447,0.96090096,0.9615027,0.949465,0.9530834,0.9671197,0.9673747,0.95561785,0.9564208,0.9645995,0.940616,0.9675292,0.97674453,0.9643992,0.9825851,0.97821116,0.96958125,0.9871768,0.97961915,0.97470766,0.94499475
1_org_5,0.9676278,0.95145696,0.9899617,0.9899864,0.97463346,0.99999964,0.99182713,0.93779474,0.9835434,0.9925613,0.97207564,0.9199489,0.9651611,0.97059935,0.9663499,0.9666252,0.97333366,0.9628297,0.963019,0.9715118,0.9142207,0.95824456,0.94977593,0.94326603,0.96937716,0.95689416,0.95037997,0.9748416,0.9623704,0.96490675,0.9526048,0.9655335,0.9612407,0.97511715,0.9754548,0.973065,0.9714843,0.96927345,0.9735389,0.97015786,0.9808353,0.95845556,0.95617664,0.9623443,0.9499045,0.9523562,0.9407002,0.9022311,0.7408234,0.83580124,0.9507503,0.93861496,0.8801887,0.95725286,0.97529346,0.92359257,0.9569515,0.95901555,0.9765693,0.9371305,0.9252043,0.9677515,0.9722525,0.9695432,0.9698736,0.9447003,0.95761573,0.97051066,0.9680743,0.95661086,0.95231915,0.95143944,0.9574491,0.9658633,0.97183,0.96687543,0.97072446,0.97215664,0.9740772,0.96408665,0.9771723,0.97452575,0.9607649,0.86368304,0.93016624,0.939354,0.9234026,0.93633604,0.94994056,0.9475266,0.93019867,0.92418903,0.9533051,0.964634,0.9654252,0.96470046,0.96467483,0.962505,0.96653444,0.96661204,0.9566579,0.96322167,0.95392907,0.94582146,0.9512142,0.9492028,0.96185803,0.93485403,0.9665048,0.95719594,0.95884776,0.9574476,0.96626174,0.96881974,0.93656,0.9635172,0.96524334,0.9677491,0.9624717,0.9445398,0.9633112,0.9793427,0.98457587,0.9742552,0.9678699,0.98169225,0.9818319,0.9764291,0.97854465,0.9863116,0.9604343,0.95890296,0.9771836,0.9759531,0.9657761,0.97939706,0.9800668,0.9761221,0.97124827,0.9793247,0.9523399
1_org_6,0.97076744,0.9578481,0.99007046,0.9891518,0.97831905,0.99182713,0.99999964,0.9497038,0.9837739,0.9895121,0.9752064,0.9137703,0.95414543,0.9635886,0.9606421,0.95514774,0.96389914,0.96014667,0.95800114,0.966678,0.91472185,0.95374954,0.94845307,0.94172037,0.9597034,0.95172393,0.9480987,0.9715003,0.96303743,0.95793915,0.9470421,0.9640553,0.9529022,0.9663874,0.9693552,0.9669869,0.9613565,0.96600777,0.9724963,0.9683238,0.9755529,0.95847344,0.9654658,0.9680921,0.96162695,0.96680355,0.9527001,0.91898894,0.7474883,0.839254,0.957538,0.9501157,0.89104486,0.9605216,0.97959083,0.93524015,0.96515846,0.9661294,0.97856224,0.94619834,0.9246252,0.9610612,0.9682048,0.9646485,0.96790105,0.94330573,0.95408607,0.96865463,0.9638151,0.9551251,0.9520967,0.94975305,0.9559705,0.95922226,0.9666128,0.9654728,0.96715844,0.96580845,0.9691599,0.962592,0.97358906,0.971169,0.95978546,0.8637139,0.9241997,0.9358007,0.9230515,0.93242025,0.9489494,0.9466425,0.9264494,0.92197526,0.9557133,0.96286774,0.9661746,0.96630394,0.96563804,0.9648986,0.9654288,0.96750605,0.9607453,0.9640522,0.955215,0.94767606,0.9502362,0.95052016,0.9637431,0.93680036,0.9644842,0.96097094,0.9575095,0.95735407,0.9664605,0.9682478,0.9462384,0.968691,0.9639337,0.95989513,0.9606896,0.94653726,0.9599837,0.97469515,0.9786031,0.9723774,0.9668404,0.97883874,0.9793595,0.9739332,0.97414124,0.980977,0.9612441,0.9620304,0.9772992,0.9744351,0.9664273,0.97619,0.9779473,0.97854793,0.97309995,0.98076713,0.9564877
1_org_7,0.93345207,0.9546294,0.94981503,0.95029086,0.96106994,0.93779474,0.9497038,1.0000001,0.9685919,0.9396119,0.9437334,0.9312806,0.9287139,0.9456329,0.9417528,0.91911435,0.94237834,0.95937634,0.95638096,0.9451741,0.9498207,0.8945908,0.9224946,0.95611006,0.90141094,0.8947214,0.91569376,0.94335735,0.9555217,0.90306985,0.8971585,0.9375809,0.8755914,0.8944764,0.90723896,0.90394187,0.89274967,0.9049505,0.94177336,0.9535822,0.9202528,0.93046546,0.9670963,0.9577721,0.96585834,0.9613372,0.9577973,0.957634,0.87608457,0.93463266,0.97540927,0.97383064,0.9679336,0.971512,0.96265125,0.97960365,0.9660305,0.9616413,0.9553915,0.97122777,0.9425673,0.91062874,0.9181943,0.9127145,0.9373722,0.9427506,0.91423917,0.91901684,0.9018741,0.9074149,0.9154762,0.9337735,0.93770343,0.924305,0.9205246,0.94566303,0.9313894,0.924788,0.9282464,0.9537623,0.93862426,0.9232123,0.933949,0.8895234,0.86791736,0.88217723,0.87451863,0.87856805,0.90522933,0.9008226,0.86972594,0.8825782,0.93580556,0.9031323,0.91751325,0.9135214,0.910706,0.9132911,0.904737,0.91365933,0.92706287,0.9543146,0.9494561,0.9562459,0.95830286,0.95771885,0.95261025,0.94552696,0.9577644,0.95153654,0.94730663,0.9595386,0.96307176,0.93096924,0.9288814,0.944047,0.9482443,0.9397857,0.94850576,0.93317574,0.89659,0.9169487,0.91826403,0.90797555,0.9112755,0.9268647,0.9272253,0.92181206,0.9189186,0.9230298,0.9209101,0.95285904,0.9387678,0.9299234,0.95445025,0.94379056,0.93029165,0.953981,0.9516299,0.9446435,0.9411932
1_org_8,0.9578953,0.97034186,0.9901109,0.9823334,0.98508394,0.9835434,0.9837739,0.9685919,1.0000002,0.9875704,0.96862435,0.9343468,0.96079427,0.96966004,0.96215343,0.9574616,0.9746618,0.96955967,0.96653175,0.97417665,0.9335249,0.9306811,0.9392525,0.9556303,0.9449327,0.9301071,0.93469524,0.96951914,0.96794856,0.94106543,0.92531073,0.95408595,0.924258,0.94604695,0.95185673,0.94725394,0.9406456,0.9445238,0.9673331,0.97713625,0.9632908,0.9444648,0.97603405,0.98120034,0.97352326,0.9723979,0.96637696,0.93397206,0.80708104,0.8805862,0.9736129,0.96337867,0.9180999,0.97886705,0.9829719,0.94887644,0.9807712,0.9806452,0.9848039,0.95650315,0.93406326,0.9469055,0.9540882,0.94960433,0.9631753,0.9466982,0.94086313,0.9538313,0.9429103,0.93540764,0.9349357,0.957417,0.9639945,0.95963496,0.9602844,0.9681306,0.96063167,0.9618645,0.96593606,0.964736,0.96864784,0.9606915,0.95298624,0.8654106,0.8991117,0.9123814,0.8950162,0.9102391,0.9387707,0.9309061,0.901127,0.8984275,0.95006204,0.95067453,0.9578345,0.952963,0.95155567,0.95090353,0.9450772,0.95576143,0.945696,0.97161853,0.9550251,0.9480568,0.95396286,0.9528508,0.9606042,0.9343425,0.96730745,0.9550494,0.94978875,0.9564496,0.9654423,0.9537757,0.937086,0.9591283,0.95872766,0.9609728,0.9574708,0.93396306,0.9338665,0.957177,0.96460795,0.94853836,0.94583344,0.9664294,0.9676857,0.9589541,0.9572357,0.9691628,0.94063866,0.95941794,0.96855295,0.9631005,0.9776331,0.97392195,0.9676076,0.98109984,0.97077334,0.9713415,0.9453554
1_org_9,0.9622278,0.95351624,0.99178505,0.98421156,0.97725284,0.9925613,0.9895121,0.9396119,0.9875704,1.0000002,0.9743182,0.91174835,0.9578556,0.9640097,0.9565614,0.95681465,0.9676473,0.9560244,0.9536911,0.9704797,0.9105407,0.948452,0.9410387,0.9357666,0.960565,0.9471321,0.94149125,0.97002846,0.9600872,0.9560048,0.9414269,0.9578938,0.9477792,0.96571994,0.96932673,0.96508324,0.96036196,0.96279436,0.9696707,0.97046494,0.9763657,0.9528357,0.96302783,0.97144127,0.9574224,0.96224207,0.94886374,0.90578747,0.73941994,0.8290396,0.9521096,0.94567746,0.87626576,0.957437,0.97945845,0.9224228,0.96238005,0.96693176,0.9839447,0.9370241,0.9125806,0.9539213,0.9599925,0.95610493,0.95975256,0.93214005,0.9434831,0.95784485,0.95514154,0.9427098,0.9395512,0.9544654,0.96127844,0.9637379,0.96953344,0.9658936,0.96707845,0.96920025,0.97332376,0.95868355,0.97218937,0.97058874,0.9566928,0.8513085,0.9133015,0.9242507,0.908517,0.92363644,0.9477079,0.9418876,0.9163429,0.9094999,0.949473,0.96347743,0.96624625,0.96334815,0.9640188,0.9622021,0.9613961,0.96794134,0.953236,0.96156824,0.9482684,0.93851614,0.9434697,0.94207,0.954926,0.9264424,0.95456886,0.94798493,0.9471837,0.9474187,0.9579309,0.95766056,0.9307335,0.9553932,0.9526913,0.9535103,0.95137703,0.93193036,0.95099044,0.9700602,0.97875017,0.96359926,0.958001,0.97580874,0.97828877,0.9717682,0.97220767,0.9804765,0.95111674,0.9507597,0.9709821,0.9722424,0.9690081,0.9744295,0.9751444,0.97981536,0.9703176,0.97601485,0.94684505
