,1_org_3.png,1_org_0.png,2_org_5.png,2_org_4.png,2_org_3.png,2_org_2.png,2_org_1.png,2_org_0.png,1_sim_8.png,1_sim_9.png,1_sim_7.png,1_sim_6.png,1_sim_5.png,1_sim_3.png,1_sim_4.png,1_sim_2.png,1_sim_1.png,1_sim_0.png,1_org_10.png,1_org_9.png,1_org_8.png,1_org_7.png,1_org_5.png,1_org_6.png,1_org_4.png,1_org_2.png,1_org_1.png,3_sim_0.png,3_org_5.png,3_org_4.png,3_org_3.png,3_org_2.png,3_org_1.png,3_org_0.png,2_sim_10.png,2_sim_9.png,2_sim_8.png,2_sim_7.png,2_sim_6.png,2_sim_5.png,2_sim_4.png,2_sim_3.png,2_sim_2.png,2_sim_1.png,2_sim_0.png,2_org_9.png,2_org_8.png,2_org_7.png,2_org_6.png,4_sim_1.png,4_sim_0.png,4_org_9.png,4_org_10.png,4_org_7.png,4_org_8.png,4_org_6.png,4_org_5.png,4_org_4.png,4_org_2.png,4_org_3.png,4_org_1.png,4_org_0.png,3_sim_11.png,3_sim_10.png,3_sim_9.png,3_sim_8.png,3_sim_7.png,3_sim_6.png,3_sim_5.png,3_sim_4.png,3_sim_3.png,3_sim_2.png,3_sim_1.png,5_sim_3.png,5_sim_2.png,5_sim_0.png,5_sim_1.png,5_org_8.png,5_org_6.png,5_org_5.png,5_org_7.png,5_org_4.png,5_org_3.png,5_org_2.png,5_org_1.png,5_org_0.png,4_sim_11.png,4_sim_10.png,4_sim_9.png,4_sim_7.png,4_sim_6.png,4_sim_8.png,4_sim_5.png,4_sim_4.png,4_sim_3.png,4_sim_2.png,6_sim_7.png,6_sim_6.png,6_sim_5.png,6_sim_4.png,6_sim_2.png,6_sim_3.png,6_sim_1.png,6_sim_0.png,6_org_6.png,6_org_5.png,6_org_4.png,6_org_3.png,6_org_2.png,6_org_1.png,6_org_0.png,5_sim_7.png,5_sim_8.png,5_sim_6.png,5_sim_5.png,5_sim_4.png,7_sim_7.png,7_sim_6.png,7_sim_5.png,7_sim_4.png,7_sim_3.png,7_sim_2.png,7_sim_1.png,7_sim_0.png,7_org_11.png,7_org_10.png,7_org_9.png,7_org_8.png,7_org_7.png,7_org_5.png,7_org_6.png,7_org_4.png,7_org_2.png,7_org_3.png,7_org_1.png,7_org_0.png,6_sim_10.png,6_sim_9.png,6_sim_8.png,7_sim_9.png,7_sim_8.png
1_org_3,1.0,0.90338606,0.8826673,0.8973572,0.9314089,0.88810074,0.9024449000000000,0.9032074000000000,0.9007784,0.82131994,0.8986459000000000,0.86376864,0.91653705,0.85961974,0.8964901,0.8817358000000000,0.89523506,0.8135349000000000,0.91587496,0.9483472,0.93157613,0.9113349000000000,0.96553195,0.9565469000000000,0.9658993,0.9739787,0.93380344,0.66411895,0.91461396,0.9295565,0.90730834,0.9188336000000000,0.9248707,0.9147309000000000,0.9293444,0.93989,0.92046535,0.92590046,0.93322796,0.92483985,0.92170674,0.92025024,0.92451334,0.9115739000000000,0.92255414,0.9238237000000000,0.9286782000000000,0.88880575,0.93227166,0.88530135,0.85186434,0.89664924,0.875577,0.9262290000000000,0.9147865,0.8814254000000000,0.8195958000000000,0.92054033,0.9178919,0.9134527,0.9239365000000000,0.82020503,0.93163884,0.9343685000000000,0.9393153000000000,0.9502641,0.90016896,0.94831127,0.9138622,0.8810374,0.92813694,0.9441671,0.79982966,0.90596294,0.9292749,0.8841417000000000,0.92108035,0.8558691000000000,0.8650203000000000,0.8804134,0.8398223,0.848835,0.8263765,0.88324815,0.84819496,0.79626346,0.92495775,0.93420833,0.9413934000000000,0.9296777,0.9022217000000000,0.8923611000000000,0.91814935,0.8922467000000000,0.92008555,0.8752848,0.912993,0.8700495,0.91902703,0.92901874,0.8701050000000000,0.9131249,0.9045943000000000,0.8772470000000000,0.9105993,0.90512335,0.88505447,0.88163877,0.8761314,0.89061224,0.91709495,0.93363965,0.9004905000000000,0.9047542,0.9040772000000000,0.89745784,0.94454336,0.91029495,0.9367361000000000,0.9351622000000000,0.90681016,0.9318108,0.9249423000000000,0.8681254,0.90855527,0.9402745000000000,0.9324281000000000,0.93269557,0.94083905,0.91504467,0.9182109,0.9161316000000000,0.9303334000000000,0.9358657000000000,0.8868967000000000,0.8295633,0.9145533000000000,0.91744983,0.91043913,0.93751633,0.93932354
1_org_0,0.90338606,1.0000001,0.86217976,0.8595935000000000,0.88193125,0.8732157000000000,0.8952024,0.8739922000000000,0.86040914,0.7520183000000000,0.82055676,0.7718731,0.8165903,0.7982045,0.7796651,0.78492403,0.82230556,0.7580832,0.8490036,0.83664197,0.80191374,0.84345585,0.8480288,0.8713609,0.92518973,0.91088367,0.94786966,0.65858555,0.9197842000000000,0.9292224,0.9099790000000000,0.8843140000000000,0.8545244000000000,0.87046486,0.90139806,0.8769778,0.90046364,0.92691356,0.91706496,0.8999953000000000,0.91151595,0.8911859000000000,0.90227544,0.9002870000000000,0.938048,0.9193472000000000,0.91747856,0.9034867,0.91136545,0.86001587,0.85718656,0.88135314,0.9010687,0.8783569,0.8910514,0.8652699,0.7625306,0.8810162,0.9067350000000000,0.8685642,0.8724284,0.77453595,0.86107683,0.88083696,0.91810846,0.9070703000000000,0.9168967000000000,0.8768151,0.8528385,0.8575531,0.917256,0.9056841,0.761621,0.9277439000000000,0.8967669,0.9275078000000000,0.9239799000000000,0.85828364,0.89917755,0.89277077,0.8555612000000000,0.82551086,0.8688885000000000,0.8972470000000000,0.8447405000000000,0.82174504,0.9086367,0.93540144,0.92466724,0.89261925,0.86477184,0.9060370000000000,0.882283,0.87271106,0.91331244,0.8520515,0.8844651,0.8959048000000000,0.89572453,0.91529125,0.8892007,0.9189036,0.9122283000000000,0.83790433,0.92165124,0.91291803,0.91538525,0.90576285,0.90868956,0.9143136000000000,0.91585493,0.9192904000000000,0.94262534,0.9324444,0.9367781,0.91777444,0.9127851,0.86961615,0.90379477,0.9394957,0.8532547000000000,0.90352273,0.9149232,0.883459,0.8752073,0.85762906,0.9157478000000000,0.8672862000000000,0.8869998,0.8922286,0.8575051000000000,0.9054425000000000,0.8919271000000000,0.85713226,0.9012979,0.8327761,0.8896775,0.8715825,0.8868884,0.8986026,0.92058825
2_org_5,0.8826673,0.86217976,0.99999976,0.93239516,0.92462945,0.92578536,0.9498259,0.9240593,0.870016,0.8532468000000000,0.92811286,0.8900796000000000,0.8931849000000000,0.9136617,0.8689762000000000,0.8850472000000000,0.88635397,0.85993403,0.82883966,0.8316195,0.8704854,0.87952054,0.87647355,0.85095525,0.87000996,0.84800345,0.8284100000000000,0.7176931,0.83585966,0.83584726,0.83070374,0.83318055,0.8220425000000000,0.8424227000000000,0.88345027,0.87118244,0.8810834000000000,0.9037741,0.8869407000000000,0.880743,0.8714272,0.87064254,0.8541279,0.8734734000000000,0.8915322,0.89927876,0.9299649,0.9102334000000000,0.9306613000000000,0.86425024,0.8533047000000000,0.89199686,0.87253207,0.86377287,0.8729369,0.9119458,0.8884526,0.90717745,0.8774297000000000,0.8872798000000000,0.9015502000000000,0.8728331,0.9023018,0.8332087000000000,0.8236475000000000,0.84624183,0.8988495000000000,0.8720739,0.8809156000000000,0.8760122000000000,0.8581636,0.87542284,0.80015105,0.875676,0.8952491,0.9062172000000000,0.8726972,0.8901669,0.87624705,0.8800527,0.8647476000000000,0.8823582,0.8475578000000000,0.8888348,0.87117076,0.8503220000000000,0.8489944000000000,0.8479993,0.8989477000000000,0.89035887,0.89292616,0.89164317,0.8897623,0.895468,0.8765782,0.87507284,0.8834120000000000,0.80967116,0.9052229000000000,0.91830015,0.88256425,0.878814,0.9189079,0.8758049000000000,0.9020554000000000,0.9234741,0.9147478000000000,0.8936088,0.8999702000000000,0.9195544,0.8833333000000000,0.8849187,0.8575575000000000,0.8863425000000000,0.86159813,0.8590907000000000,0.9025539,0.8654909,0.9033142,0.9174842000000000,0.88324916,0.88055295,0.8972527,0.9105271,0.86021286,0.87841773,0.90677774,0.90448225,0.9108343000000000,0.9020101,0.8772939000000000,0.9072896,0.8815453000000000,0.8494974000000000,0.87414384,0.8700968000000000,0.85810256,0.86177254,0.93730164,0.8805406000000000,0.90328467
2_org_4,0.8973572,0.8595935000000000,0.93239516,0.99999994,0.9653741,0.8783517,0.95221186,0.9706111,0.85633695,0.83511424,0.8818034,0.8756443000000000,0.90104246,0.9117244000000000,0.90603864,0.86696196,0.92567647,0.8752392,0.8818987000000000,0.89116347,0.89593637,0.8835168,0.9172739,0.8784204,0.8703424000000000,0.8817716,0.82143974,0.68887043,0.828575,0.8372054,0.8226845000000000,0.8307686,0.8443897000000000,0.8514791000000000,0.89007246,0.9128599000000000,0.9060758,0.91685617,0.90432924,0.93423384,0.9258115,0.90416074,0.9171598,0.93367577,0.9280555,0.9307556,0.95504224,0.91691804,0.9331407000000000,0.9288995000000000,0.8993938,0.89694977,0.875872,0.8767331,0.89805424,0.87329936,0.8698051,0.9099051000000000,0.8923528000000000,0.89689505,0.9153058000000000,0.89299154,0.88796884,0.87674105,0.8300624,0.8453208000000000,0.8651056,0.88377476,0.86706567,0.84532154,0.8603506,0.8637706,0.75224316,0.9170661,0.92787266,0.8981041,0.9155295,0.9197894,0.9011307000000000,0.8959981,0.9100336000000000,0.919394,0.8780801000000000,0.9129864,0.9151859,0.8520573,0.8822051,0.8887048000000000,0.9297755000000000,0.9348063,0.94865954,0.9316075,0.9352397000000000,0.9374213,0.9294294,0.9408140000000000,0.8505715,0.7951321,0.88729966,0.9098647000000000,0.8902953000000000,0.8828753,0.91045773,0.8605150000000000,0.8902091000000000,0.916191,0.9021895000000000,0.87517214,0.8854506,0.90636194,0.9019310000000000,0.93172073,0.8935585000000000,0.93466777,0.9138919,0.9060976000000000,0.9026547000000000,0.8652045,0.91581625,0.91990596,0.9029338,0.9146234000000000,0.9120373000000000,0.8774226,0.9045018,0.9167763000000000,0.9401119000000000,0.9434380000000000,0.9389141,0.91886103,0.9030803,0.9396353000000000,0.9091474,0.90388227,0.9140127,0.8874897000000000,0.8713765000000000,0.8571957,0.91390395,0.9061526,0.89288276
2_org_3,0.9314089,0.88193125,0.92462945,0.9653741,1.0,0.9062194000000000,0.94518757,0.96325636,0.8697227000000000,0.8234357,0.88522625,0.859138,0.9249769,0.89870507,0.9198506,0.88441396,0.9254835000000000,0.8583024000000000,0.883885,0.92829275,0.9143877,0.8852159000000000,0.94379365,0.91840446,0.9001864000000000,0.9149864,0.8721044,0.68063605,0.8588116,0.8845438,0.86558044,0.8772551,0.8938453000000000,0.8908286,0.91346556,0.94167125,0.9178038000000000,0.93916416,0.94294775,0.9623743,0.94295394,0.9365424000000000,0.94546616,0.935875,0.94109994,0.9586909,0.97700906,0.92523396,0.9572355000000000,0.9198108,0.89691246,0.88944644,0.8638047000000000,0.90450263,0.9102633,0.8858428,0.8439038000000000,0.9133927,0.9022635,0.9041047000000000,0.9265163000000000,0.8538399,0.9096496,0.9155788,0.87376916,0.8916909,0.8822604,0.9250841000000000,0.88957965,0.8463681000000000,0.89441645,0.9006287000000000,0.77623343,0.9221238000000000,0.9380722,0.89900714,0.93833596,0.89266676,0.88966036,0.893216,0.88887537,0.8934548000000000,0.85314167,0.91343796,0.89527047,0.8289847,0.9137366,0.92589796,0.9457454,0.9495187000000000,0.93942297,0.9138621000000000,0.93794703,0.9307387000000000,0.94122565,0.9235883,0.8790929,0.82999843,0.9095373,0.9248785000000000,0.88704276,0.896546,0.90979576,0.88340247,0.9028746,0.9298342000000000,0.8984598,0.89085686,0.88888884,0.90745986,0.93298066,0.94814324,0.8975925000000000,0.9358871,0.9156104000000000,0.9173038,0.92932427,0.89000964,0.9433502,0.9285054,0.9119625,0.9370101000000000,0.9262950000000000,0.872059,0.9002174000000000,0.95533663,0.9568478000000000,0.95846736,0.9521504000000000,0.9234364000000000,0.931306,0.93666714,0.93225497,0.93631124,0.9054866,0.86868286,0.8964396000000000,0.9046285,0.9192121000000000,0.92468274,0.9152206
2_org_2,0.88810074,0.8732157000000000,0.92578536,0.8783517,0.9062194000000000,1.0000002000000000,0.940991,0.88910055,0.8869623,0.84314966,0.9066276,0.8651897,0.8826649,0.8690028000000000,0.8388795,0.8649012000000000,0.8543815,0.82577175,0.80040634,0.8285680000000000,0.8567587,0.8614831000000000,0.87450504,0.8578286,0.87790656,0.8680054,0.86868954,0.74808466,0.8680103000000000,0.8786526,0.8712754,0.86068654,0.86148244,0.8647953000000000,0.8928269,0.86855817,0.88586545,0.90617377,0.88651574,0.86735344,0.8678659,0.86610526,0.85016966,0.85817266,0.9057150000000000,0.89459676,0.9064621000000000,0.9158231,0.9364823,0.8536039000000000,0.8485899000000000,0.8433294,0.826789,0.8481002000000000,0.84007543,0.8696754000000000,0.83133936,0.8799359,0.8420438,0.8474047000000000,0.85867536,0.80688316,0.89355254,0.8431771,0.85845196,0.87756026,0.9163029,0.882043,0.89804137,0.88218427,0.8959228000000000,0.90017784,0.84787285,0.8714602000000000,0.8863821,0.90430075,0.86507446,0.8251753000000000,0.8326303000000000,0.84679526,0.78567314,0.8011861,0.7783629,0.8407289000000000,0.7972919000000000,0.80436593,0.8604275,0.8648414000000000,0.87904894,0.8683498,0.8545728000000000,0.8746139,0.8788085000000000,0.8650249,0.85778254,0.83005404,0.8809382,0.80720425,0.89906216,0.91754127,0.8949523000000000,0.89506483,0.91427076,0.8789998,0.90805596,0.90724504,0.9040139000000000,0.907766,0.9108088,0.90223086,0.89136875,0.8899292,0.8723067000000000,0.8682043000000000,0.85777724,0.8601366,0.9314838,0.89246595,0.8988390000000000,0.9165821,0.8975891000000000,0.8862651,0.91057783,0.90239954,0.8588271000000000,0.87868005,0.9000152,0.8864958000000000,0.9015939000000000,0.8762163000000000,0.8793019,0.88885254,0.8773248000000000,0.8563261000000000,0.86129653,0.8495779,0.8701270000000000,0.8705301,0.9149678,0.88191104,0.9085411
2_org_1,0.9024449000000000,0.8952024,0.9498259,0.95221186,0.94518757,0.940991,0.99999994,0.9457602000000000,0.89117277,0.8427441000000000,0.91071653,0.8880446,0.90258837,0.9097405000000000,0.88189346,0.87877405,0.90466166,0.8694159,0.84135544,0.85754395,0.8763139000000000,0.8835738000000000,0.89631164,0.8738600000000000,0.8888415000000000,0.8800195,0.85872185,0.7514699,0.85380626,0.8645288000000000,0.86277986,0.86130047,0.85099316,0.85651344,0.9159605,0.9095134,0.90658283,0.94583976,0.9239968000000000,0.9163408000000000,0.9169161,0.91242176,0.89335954,0.9172366,0.93954563,0.92657375,0.9529089,0.95091057,0.9499873,0.91279554,0.9047224,0.9019114000000000,0.8948153,0.88736117,0.89591634,0.9077565000000000,0.884164,0.92907536,0.89686286,0.89364827,0.9048077000000000,0.87185895,0.8999505000000000,0.871766,0.86315036,0.87963617,0.9179384,0.8921175000000000,0.8988039000000000,0.88879764,0.8952805,0.90584934,0.8037057,0.92670786,0.9337474,0.9409876,0.915689,0.90566313,0.9090507,0.90900004,0.8839921000000000,0.89601016,0.8738721000000000,0.9142870000000000,0.8937733,0.85903543,0.8870438,0.8920131000000000,0.9278643,0.9207097,0.92348933,0.92669284,0.92647743,0.92409295,0.91597354,0.91073704,0.8994744,0.8444635,0.9134252,0.9340476000000000,0.9255736000000000,0.9030309000000000,0.9486575,0.8932842000000000,0.91699004,0.931184,0.9243291000000000,0.90391487,0.91765654,0.9396168000000000,0.9199254000000000,0.9293891,0.91271687,0.93527025,0.92103004,0.9217553000000000,0.9325377,0.89895576,0.9378188000000000,0.94258964,0.9131966,0.92462826,0.9391102000000000,0.9296105,0.8947436,0.9085005000000000,0.9411015000000000,0.93372214,0.93970263,0.93337953,0.9113047000000000,0.9388028,0.9187684000000000,0.88879156,0.9196081,0.8899057000000000,0.89152336,0.88544583,0.9363017,0.9154551,0.9335079
2_org_0,0.9032074000000000,0.8739922000000000,0.9240593,0.9706111,0.96325636,0.88910055,0.9457602000000000,0.9999999000000000,0.8502076,0.8150257,0.8733296,0.8542234000000000,0.88494545,0.90088797,0.8909243,0.85927075,0.9030193000000000,0.8482255,0.8715143,0.8914447,0.8798338,0.86830807,0.9162835000000000,0.90407777,0.8703780000000000,0.8848319,0.83551586,0.67160887,0.8529302,0.8670212000000000,0.8592403000000000,0.8512947,0.8624357,0.8761884,0.90573967,0.90800893,0.8875872000000000,0.9146323000000000,0.92895144,0.93674153,0.92319846,0.929459,0.9211402,0.93618715,0.9286775000000000,0.9336076000000000,0.94778657,0.9095967000000000,0.932135,0.9067998000000000,0.8888017,0.9014270000000000,0.87805843,0.88892794,0.90574306,0.8963438,0.8660965,0.9166615,0.89630234,0.8973418,0.9180902,0.86489946,0.8977371,0.88637435,0.84781957,0.8683163,0.8714185,0.9165825000000000,0.87835145,0.8275867,0.8797913,0.88196427,0.7627829,0.9233115,0.9267014000000000,0.90420556,0.9262428,0.9085552,0.91458666,0.90648174,0.91193676,0.9136878,0.8894447,0.9172791000000000,0.90537214,0.8385527,0.8739028,0.88675714,0.9204345000000000,0.91526294,0.91870624,0.9040493000000000,0.90889966,0.90899384,0.9081259,0.91350555,0.8733747,0.8143064,0.8931241,0.9164151,0.90613306,0.8940886,0.9099864,0.8830317000000000,0.90331763,0.91620237,0.90391695,0.87338704,0.88964665,0.89939535,0.9034166000000000,0.9280462000000000,0.8931145,0.9281148000000000,0.91231704,0.91093683,0.8997483000000000,0.86515987,0.9220952000000000,0.9130938,0.8895732,0.921947,0.9236131,0.8836152,0.90877247,0.9309926,0.9436722,0.94942534,0.94339573,0.9169637000000000,0.91102827,0.9397271,0.9108039000000000,0.9122468,0.9185443000000000,0.8807658000000000,0.8859365,0.891333,0.90938365,0.90807676,0.913802
1_sim_8,0.9007784,0.86040914,0.870016,0.85633695,0.8697227000000000,0.8869623,0.89117277,0.8502076,1.0,0.8842236000000000,0.9411679000000000,0.92350346,0.92474353,0.90719175,0.8910359,0.9283248,0.8998793000000000,0.8264366,0.8277123,0.8311507000000000,0.8705542,0.85575306,0.8881124,0.86322296,0.89165926,0.88815856,0.8557569000000000,0.68664014,0.85671246,0.8643695,0.8543087000000000,0.85351026,0.8580066000000000,0.8732914,0.8776325,0.8638734,0.87614894,0.900386,0.85071576,0.8382167000000000,0.86788654,0.8406447,0.8411932000000000,0.85248715,0.8594935000000000,0.8521975,0.8835857,0.89744717,0.9089749,0.8569516000000000,0.87002945,0.8480767,0.8259308000000000,0.8519983,0.83646286,0.8403131000000000,0.8494015000000000,0.8959416000000000,0.8443130000000000,0.84428656,0.8429218,0.7738550000000000,0.91110444,0.8729546,0.8715344,0.884584,0.87638754,0.87481314,0.9357749,0.86630803,0.8630841,0.91933274,0.8054285,0.8781303,0.91535884,0.9027506,0.85692775,0.7901365,0.8069935,0.82793206,0.7793581,0.77697766,0.7577052,0.79665565,0.7696601,0.76332855,0.86205506,0.8603654000000000,0.9077451000000000,0.8866709,0.86479926,0.87650144,0.8794836000000000,0.8769884,0.86540866,0.8377055,0.86408436,0.7736232,0.85290784,0.91054624,0.9198791,0.8915065000000000,0.9002769,0.8946651,0.9127357,0.90863883,0.8924372000000000,0.9029657000000000,0.9124298000000000,0.9086282000000000,0.8838409000000000,0.88929003,0.86762035,0.861326,0.8447079,0.8673129,0.90441775,0.91257715,0.9009878000000000,0.9038583,0.9096415000000000,0.8851336,0.8928645000000000,0.8839475,0.87169003,0.8639643,0.89022624,0.8543532000000000,0.8881537,0.8810742,0.882632,0.8659173000000000,0.8941307000000000,0.86322737,0.86111593,0.82409346,0.8978212,0.89458066,0.9059213000000000,0.86117876,0.8800509
1_sim_9,0.82131994,0.7520183000000000,0.8532468000000000,0.83511424,0.8234357,0.84314966,0.8427441000000000,0.8150257,0.8842236000000000,1.0000002000000000,0.9316439000000000,0.9281776000000000,0.8880439,0.9077064,0.8579343,0.9001137000000000,0.88755804,0.91790974,0.8006627,0.7573896,0.8598242,0.8713002000000000,0.82384694,0.7906179,0.8219109,0.7945573,0.76083696,0.83133894,0.77966416,0.75949514,0.74748033,0.78857744,0.7696918,0.80076134,0.79676306,0.7869029000000000,0.8497839,0.85147464,0.7440269,0.76910734,0.7600037,0.7428975,0.7380698,0.75801885,0.8091893,0.7809995,0.81669956,0.85995376,0.85728705,0.84890664,0.8431848,0.8161047000000000,0.78349435,0.78987265,0.7737279,0.80297863,0.8769187000000000,0.852467,0.78618,0.8040233,0.80646855,0.8613473,0.8881601,0.7704342,0.7497375,0.7820139,0.8485397000000000,0.7972002000000000,0.8943474,0.8766621000000000,0.79893434,0.83663094,0.86560476,0.8165101,0.85556054,0.84053445,0.7683551,0.803447,0.754069,0.7686033,0.7581239000000000,0.7788926000000000,0.7124553000000000,0.7606659,0.7534497000000000,0.7878444,0.77145755,0.73435265,0.8357321,0.8072786,0.8266759,0.85578454,0.82616925,0.8588613000000000,0.781397,0.8141956,0.78426194,0.6722533,0.7923929,0.85965157,0.8456571000000000,0.8088106000000000,0.82252765,0.8320548000000000,0.84607655,0.8690427,0.8686826000000000,0.85037154,0.86629325,0.8514137000000000,0.82269365,0.8143816000000000,0.7963861,0.7845596000000000,0.7809286,0.7572941,0.82376575,0.79852617,0.80873466,0.83257174,0.87138164,0.78525114,0.8351817000000000,0.8415566000000000,0.84958106,0.80165255,0.80524606,0.816122,0.8454008,0.8311422000000000,0.81084275,0.82864463,0.82458705,0.7985954000000000,0.82264984,0.8751587,0.80846643,0.81141853,0.8598511000000000,0.7984612000000000,0.7792605000000000
